128.69,125.81,128.38,2.88,125.81,2.57,12.95,25.69,51.11,28.52,52.08,100.28,47.32144771904410
126.62,124.62,125.37,3.76,124.62,0.75,11.51,22.94,50.86,23.71,52.28,102.35,47.37573264327410
126.69,124.37,125.69,2.32,124.37,1.32,10.7,21.83,48.18,23.15,51.29,99.67,45.47779081867380
126,121.81,122.25,4.19,121.81,0.44,10.77,20.14,48.25,21.84,52.04,99.11,46.19114670259600
123.12,118.19,119.37,4.93,118.19,1.18,9.76,20.26,48.24,23.95,54.66,101.6,40.65965279899800
121.87,118.06,118.5,3.81,118.06,0.44,9.95,18.89,47.68,25.39,54.84,102.53,38.87848720167170
124,117.56,123.19,6.44,117.56,5.63,12.33,23.65,52.75,28.33,59.16,105.78,43.41591287147760
127,121,123.5,6,121,2.5,12.26,25.21,54.88,31.45,59.97,109.28,41.46071972001390
124.44,121.12,122.19,3.32,121.12,1.07,12.58,24.09,53.89,31.01,54.72,109.85,42.76804101731340
122.5,118.94,119.31,3.56,118.94,0.37,11.63,22.33,49.38,32.25,55.4,105.78,38.79193897519650
123.75,119.81,123.31,4.44,119.31,4,15.19,25.96,50.38,32.5,54.34,106.91,47.08916482943040
123.81,121,121.12,2.81,121,0.12,14.13,23.89,47.75,30.38,54.33,106.97,45.51802557542820
124.5,122,123.37,3.38,121.12,2.25,15.94,25.89,49.81,29.95,55.34,107.28,50.41215572636970
127.87,124.5,127.37,4.5,123.37,4,14.31,26.64,51.63,28.01,56.34,108.91,49.47577036100600
128.56,126.56,128.5,2,126.56,1.94,13.75,26.01,51.7,24.01,55.46,107.54,52.99195522406290
129.63,123.5,123.87,6.13,123.5,0.37,13.05,25.63,48.57,26.82,57.83,110.11,46.76863173558930
124.87,121.25,122.94,3.62,121.25,1.69,14.37,26,47.83,26.88,59.13,110.42,49.29964814274660
124.37,121.06,121.75,3.31,121.06,0.69,11.06,26.25,46.39,25.75,58.25,110.29,43.42805965468180
124.87,122.31,124.44,3.12,121.75,2.69,13.63,27.76,48.02,26.06,56.44,111.1,50.11454130320020
123.62,121,122,3.44,121,1,12.38,28.32,47.21,26.12,56.07,110.91,47.59559352672340
124.06,120.87,122.37,3.19,120.87,1.5,9.88,24.19,47.84,24.81,52.82,111.98,41.94380234281450
125.87,122.06,122.94,3.81,122.06,0.88,8.82,22.57,47.78,26.62,50.63,110.6,37.84132581605260
